Experiment,training epochs,dom A prob 0,dom A prob 1,dom B prob 0,dom B prob 1,batch size before sampling,batch size after sampling,function f, importance sampling,avg weight 0,variance,avg weight 1,variance,avg weight 0/1,avg batch-avg weight 0/1,avg unnorm weight 0,variance,avg unnorm weight 1,variance,avg unnorm weight 0/1,increase of 0,increase of 1,expected ratio 0/1, expected ratio 1/0
02092020183255,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.016184477135539055,5.3210155783744995e-06,0.0047635710798203945,4.31765383393325e-17,3.3975513043355856,3.301497220993042,217.81045532226562,963.7283325195312,64.10807037353516,7.971509674575827e-09,3.3975512607564196,2.5,0.625,4.0,0.25
02092020183334,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.020881380885839462,1.446439819119405e-05,0.0050693596713244915,1.4065456698658663e-12,4.119135796175161,4.218769550323486,0.000605443783570081,1.2159889983820449e-08,0.0001469832204747945,1.1824581002461217e-15,4.11913537895236,2.5,0.625,4.0,0.25
02092020183413,4,0.2,0.8,0.5,0.5,256,64,1,yes,0.017796142026782036,9.975972936615563e-09,0.004439558368176222,1.0329474207537714e-05,4.008538811956812,3.857386350631714,3.651446968433447e-05,4.199830587470199e-14,9.109171514865011e-06,4.348670729070747e-11,4.008539044933723,2.5,0.625,4.0,0.25
02092020183452,4,0.2,0.8,0.5,0.5,256,64,1,yes,0.022466398775577545,0.0,0.004816289059817791,1.3997545465826988e-05,4.664669934995033,4.968879222869873,0.03357456624507904,0.0,0.007197629194706678,3.126120282104239e-05,4.664670176364551,2.5,0.625,4.0,0.25
02092020183530,4,0.2,0.8,0.5,0.5,256,64,2,yes,0.007246376946568489,0.0,0.007246377412229776,0.0,0.9999999357387477,1.0,0.22621320188045502,0.0,0.2262132167816162,0.0,0.9999999341278047,2.5,0.625,4.0,0.25
02092020183610,4,0.2,0.8,0.5,0.5,256,64,2,yes,0.007246376946568489,0.0,0.007246376946568489,0.0,1.0,1.0,0.10958726704120636,0.0,0.10958726704120636,0.0,1.0,2.5,0.625,4.0,0.25
02092020183649,4,0.2,0.8,0.5,0.5,256,64,3,yes,0.007246377412229776,0.0,0.007246376946568489,0.0,1.0000000642612565,1.0,3.737105998879997e-06,0.0,3.7371057715063216e-06,0.0,1.0000000608421835,2.5,0.625,4.0,0.25
02092020183728,4,0.2,0.8,0.5,0.5,256,64,3,yes,0.022276852279901505,2.2778247512178496e-05,0.0030712448060512543,1.8145640074916094e-16,7.253362622220659,7.058705806732178,0.026984326541423798,3.342226045788266e-05,0.0037202509120106697,2.6800167449751386e-16,7.2533619854257845,2.5,0.625,4.0,0.25
02092020183806,4,0.2,0.8,0.5,0.5,256,64,4,yes,0.007246376946568489,0.0,0.007246376946568489,0.0,1.0,1.0,1103.7000732421875,0.0,1103.699951171875,0.0,1.0000001106009948,2.5,0.625,4.0,0.25
02092020183847,4,0.2,0.8,0.5,0.5,256,64,4,yes,0.021283632144331932,3.70259876945056e-05,0.003673257539048791,0.0,5.7942117910533,5.499467849731445,0.0016753142699599266,2.2940751875921706e-07,0.0002891358162742108,0.0,5.794212185636286,2.5,0.625,4.0,0.25
02092020184209,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.007246376946568489,0.0,0.007246376946568489,0.0,1.0,1.0,0.0005385287804529071,0.0,0.000538528838660568,0.0,0.9999998919135676,2.5,0.625,4.0,0.25
02092020184248,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.01838357001543045,2.4169039534172043e-05,0.0044114552438259125,1.5469248874477176e-13,4.167234846405689,4.180485248565674,13.28213119506836,12.616395950317383,3.18727707862854,8.074676571823147e-08,4.167234560223284,2.5,0.625,4.0,0.25
02092020184326,4,0.2,0.8,0.5,0.5,256,64,1,yes,0.01576986536383629,8.463740775940809e-13,0.005629852879792452,1.8331187675357796e-05,2.801115002567821,2.77270770072937,3.274437767686322e-05,3.652406068560543e-18,1.1689766324707307e-05,7.903292603694823e-11,2.801114818493439,2.5,0.625,4.0,0.25
02092020184405,4,0.2,0.8,0.5,0.5,256,64,1,yes,0.0072463760152459145,1.7897191993878546e-18,0.007246377877891064,1.0100031409613087e-18,0.9999997429550073,0.9999997019767761,1.4337713718414307,1.0091766018769516e-13,1.4337716102600098,3.570112413163462e-14,0.9999998337123029,2.5,0.625,4.0,0.25
02092020184444,4,0.2,0.8,0.5,0.5,256,64,2,yes,0.021048227325081825,5.257505108602345e-06,0.0037331783678382635,5.184721540985038e-10,5.638152065386049,5.543274402618408,0.012720923870801926,1.92037350643659e-06,0.002256222302094102,1.8937779122651932e-10,5.638151816421219,2.5,0.625,4.0,0.25
02092020184523,4,0.2,0.8,0.5,0.5,256,64,2,yes,0.018673241138458252,3.798153458411946e-11,0.005532347597181797,1.5015079043223523e-05,3.375283423617577,3.496706247329712,0.0002466368896421045,6.626112165057001e-15,7.3071445513051e-05,2.6194144631119798e-09,3.375284119677825,2.5,0.625,4.0,0.25
02092020184602,4,0.2,0.8,0.5,0.5,256,64,3,yes,0.007246376946568489,0.0,0.007246376480907202,0.0,1.0000000642612605,1.0,0.6589104533195496,0.0,0.6589104533195496,0.0,1.0,2.5,0.625,4.0,0.25
02092020184641,4,0.2,0.8,0.5,0.5,256,64,3,yes,0.007246376480907202,0.0,0.007246376946568489,0.0,0.9999999357387436,1.0,1.5725730657577515,0.0,1.572572946548462,0.0,1.0000000758052527,2.5,0.625,4.0,0.25
02092020184720,4,0.2,0.8,0.5,0.5,256,64,4,yes,0.007246376946568489,0.0,0.007246376946568489,0.0,1.0,1.0,0.0035993109922856092,0.0,0.0035993109922856092,0.0,1.0,2.5,0.625,4.0,0.25
02092020184801,4,0.2,0.8,0.5,0.5,256,64,4,yes,0.026407236233353615,1.0334145004846102e-14,0.0038072490133345127,1.668666449461398e-08,6.936041257313321,6.532381057739258,0.6693362593650818,6.612686093143694e-12,0.0965011864900589,1.0720427781052422e-05,6.936041759797779,2.5,0.625,4.0,0.25
